spp,scd,dbh,dbh_cm,tht,tht_m,stm,stm_kg,brk,brk_kg,bch,bch_kg,fol,fol_kg,agb,agb_kg,lon,lat
Pinus echinata,110,1.8,4.572,13.3,4.053642182,2.78,1.260770975,1.35,0.612244898,0.24,0.108843537,0.29,0.131519274,4.66,2.113378685,-83.57,34.72
Pinus echinata,110,1.9,4.826,15.2,4.632733923,4.14,1.87755102,1.56,0.707482993,0.95,0.430839002,0.63,0.285714286,7.28,3.301587302,-83.57,34.72
Pinus echinata,110,3.1,7.874,28.3,8.62541908,21.42,9.714285714,4.79,2.172335601,1.58,0.716553288,1.5,0.680272109,29.29,13.28344671,-83.57,34.72
Pinus echinata,110,2.8,7.112,17.1,5.211825663,8.41,3.814058957,3.41,1.546485261,2.34,1.06122449,1.36,0.616780045,15.52,7.038548753,-83.57,34.72
Pinus echinata,110,2.3,5.842,21.1,6.430966169,8.55,3.87755102,3.82,1.732426304,1.43,0.648526077,0.87,0.394557823,14.67,6.653061224,-83.57,34.72
Pinus echinata,110,4.3,10.922,31,9.448338921,38.98,17.67800454,7.55,3.424036281,4.57,2.072562358,2.61,1.183673469,53.71,24.35827664,-83.57,34.72
Pinus echinata,110,2.7,6.858,22.8,6.949100884,10.33,4.684807256,4.46,2.022675737,1.45,0.657596372,1.22,0.553287982,17.46,7.918367347,-83.57,34.72
Pinus echinata,110,2.3,5.842,23.2,7.071014934,7.93,3.596371882,2.95,1.337868481,0.88,0.399092971,0.9,0.408163265,12.66,5.741496599,-83.57,34.72
Pinus echinata,110,7.5,19.05,64,19.5062481,277.88,126.0226757,26.9,12.19954649,21.62,9.804988662,6.61,2.997732426,333.01,151.0249433,-95,34.333
Pinus echinata,110,8.9,22.606,67.6,20.60347455,338.49,153.5102041,33.15,15.03401361,26.52,12.02721088,6.61,2.997732426,404.77,183.569161,-95,34.333
Pinus echinata,110,11.6,29.464,72.8,22.18835721,614.07,278.4897959,67.48,30.6031746,42.86,19.43764172,11.46,5.197278912,735.87,333.7278912,-95,34.333
Pinus echinata,110,10.4,26.416,69.9,21.30448034,551.02,249.8956916,48.64,22.05895692,66.42,30.12244898,14.55,6.598639456,680.63,308.675737,-95,34.333
Pinus echinata,110,9.3,23.622,70.5,21.48735142,429.14,194.6213152,45.05,20.430839,28.04,12.71655329,5.95,2.698412698,508.18,230.4671202,-95,34.333
Pinus echinata,110,11.3,28.702,71.2,21.70070101,650.82,295.1564626,53.11,24.0861678,61.58,27.92743764,13.01,5.900226757,778.52,353.0702948,-95,34.333
Pinus echinata,110,10.4,26.416,72.8,22.18835721,573.57,260.122449,54.23,24.59410431,34.22,15.51927438,8.82,4,670.84,304.2358277,-95,34.333
Pinus echinata,110,8,20.32,72.5,22.09692167,300.44,136.2539683,36.96,16.76190476,22.95,10.40816327,6.39,2.897959184,366.74,166.3219955,-95,34.333
